Epoch,Loss
0,0.6842133887978488
1,0.5311444415602573
2,0.32439030672228614
3,0.31206230541994406
4,0.2819232244131177
5,0.271637566214384
6,0.25549207073311475
7,0.24870278149150138
8,0.24636792686096456
9,0.23327009986306346
10,0.22578813066316206
11,0.2228309025251588
12,0.21994199898353842
13,0.21679102300211442
14,0.21152281535919323
15,0.21038477382687634
16,0.20478328993154127
17,0.2029770753064821
18,0.19990724637064822
19,0.1977389136026072
20,0.19460853812999504
21,0.19383332410524057
22,0.1918479595766511
23,0.1912138221222301
24,0.18602387918982394
25,0.1850379887361859
26,0.18399104198744132
27,0.18176318913005118
28,0.17979195384785188
29,0.17820380697416704
30,0.17565374752116758
31,0.1749042545466922
32,0.17313752548639164
33,0.17121320754982705
34,0.168545599247134
35,0.16806569262299426
36,0.16560090229261754
37,0.1648897159584733
38,0.16293172087780264
39,0.16219886530970418
40,0.1596190931145535
41,0.15898883273435194
42,0.15662523705598919
43,0.15611318221618964
44,0.1541836544178253
45,0.15351531290730766
46,0.15087790969152784
47,0.15049655614204185
48,0.1484527600019477
49,0.14765649843354559
50,0.14522442065699157
51,0.14479588552616363
52,0.14339687328699025
53,0.1422923559019732
54,0.14082548663366673
55,0.1396222559865131
56,0.1378851657690004
57,0.13741694945235586
58,0.1353475623872391
59,0.13456830694231875
60,0.13293129171049872
61,0.13222565709851508
62,0.13038502373667651
63,0.1300739671948344
64,0.1281830723895583
65,0.12731522304374118
66,0.12529126676016075
67,0.12499395619298137
68,0.12381360515259034
69,0.12292432525130205
70,0.12072974859282028
71,0.12041763922329558
72,0.11915992183047672
73,0.1182782051348409
74,0.11644010583675185
75,0.11594019145813099
76,0.11427773396636165
77,0.11387925508410432
78,0.11343504020641017
79,0.11220027298428291
80,0.11019733916361664
81,0.1095277882765892
82,0.10804527807374333
83,0.10763722606176554
84,0.10616017895382504
85,0.10563738609469214
86,0.10369633458728014
87,0.10330279881871024
88,0.10182042749122132
89,0.10126444004302801
90,0.09980301117134649
91,0.09921439581139144
92,0.09782184729742449
93,0.09753157839525578
94,0.09577710406724797
95,0.09551487629150235
96,0.09395571824076564
97,0.09370551960066308
98,0.09229879505759062
99,0.09175141588893047
100,0.0902838078002597
101,0.0901136840152186
102,0.08869442967481392
103,0.08811385375122692
104,0.08677924103861631
105,0.08626875549901364
106,0.08530392783672311
107,0.08478413682517617
108,0.08370357197384502
109,0.08301546610891819
110,0.08187961327128632
111,0.0814146802349146
112,0.07987779413544854
113,0.07970554156358851
114,0.0784579511991767
115,0.07818741576616155
116,0.07728408727534981
117,0.07658776160069676
118,0.07522180659133335
119,0.07492631154004918
120,0.07389991357922554
121,0.0735487882481065
122,0.07248238222890122
123,0.07213403345193974
124,0.07099783147663571
125,0.07054258709730105
126,0.06946821987282398
127,0.06917191639022771
128,0.06806305003200852
129,0.06768755779363388
130,0.06674844966551592
131,0.06638922984170359
132,0.06526604138834532
133,0.06501541044129881
134,0.064274494731149
135,0.06368392731907756
136,0.06287492967622224
137,0.06251495153924753
138,0.061663577896217965
139,0.061018777144856234
140,0.060027825451174445
141,0.05976445933933868
142,0.058852177026659944
143,0.058643955607400385
144,0.057829734977594645
145,0.057478581923385
